date,a,b,c,id
08 Jan 01,-0.328021,-1.129557,0.8952337,id0
15 Jan 01,-0.260981,0.4325461,0.7999590,id1
22 Jan 01,-0.708168,-0.165642,-1.214248,id2
29 Jan 01,0.1050947,-0.478825,-0.097188,id3
05 Feb 01,-1.481598,-0.790544,0.7121697,id4
12 Feb 01,,-1.553156,0.6342381,id5
19 Feb 01,-1.929297,-0.437420,1.2770649,id6
26 Feb 01,0.1923718,0.9142394,-0.960986,id7
05 Mar 01,2.2220150,-0.018480,0.2474163,
12 Mar 01,-0.754264,-0.097793,,id9
19 Mar 01,-0.367744,0.6224510,-0.190760,id10
26 Mar 01,-1.252687,-0.306277,1.2155012,id11
02 Apr 01,-0.125288,-0.182373,-0.496704,id12
09 Apr 01,1.2110727,-0.094084,-0.235893,id13
16 Apr 01,2.2960686,1.2877342,0.3869560,id14
23 Apr 01,-1.333424,-0.548684,-1.192088,id15
30 Apr 01,0.5405122,0.0481936,0.7592832,id16
07 May 01,-1.296131,1.1276968,-0.628129,id17
14 May 01,-0.431517,0.5483255,-0.772051,id18
21 May 01,-0.658965,-0.180493,-0.374585,id19
28 May 01,-1.583708,-0.331486,-0.677144,id20
04 Jun 01,-0.101745,0.1005937,0.8919951,id21
11 Jun 01,-1.992176,-0.114224,-0.132164,id22
18 Jun 01,2.0550678,-0.240351,-2.101066,id23
25 Jun 01,1.0997173,0.1419186,1.9227101,id24
02 Jul 01,-1.580850,-0.874299,-0.008259,id25
09 Jul 01,1.0082679,-0.348940,0.6544556,id26
16 Jul 01,-1.625109,-1.855809,0.3137926,id27
23 Jul 01,1.5899304,-0.276005,-0.244301,id28
30 Jul 01,0.7752711,0.0626655,-1.094201,id29
06 Aug 01,1.9418355,0.0013587,-0.000417,id30
13 Aug 01,0.1839656,-0.904714,1.1832802,id31
20 Aug 01,0.0106713,-0.881298,-1.160488,id32
27 Aug 01,0.7456086,-0.489798,2.0931653,id33
03 Sep 01,-0.929283,-0.982509,0.6774728,id34
10 Sep 01,-0.023065,-0.903243,0.6455499,id35
17 Sep 01,-1.003867,0.6932569,0.7559876,id36
24 Sep 01,-0.114883,-0.531269,-0.372965,id37
01 Oct 01,-0.582343,0.6353952,2.8645925,id38
08 Oct 01,-1.187380,-1.850716,0.5983382,id39
15 Oct 01,0.8936352,0.3254558,1.4311554,id40
22 Oct 01,1.4456471,0.4114442,0.1357020,id41
29 Oct 01,-0.616259,-0.471775,-0.232813,id42
05 Nov 01,0.1549853,-1.212228,0.8184086,id43
12 Nov 01,1.3204980,-0.556760,0.1182070,id44
19 Nov 01,-1.088209,-0.346121,1.4085936,id45
26 Nov 01,1.0657740,0.2354580,-1.666686,id46
