# legacy (read-only) timestamps from the old wiki
# page created last_modified
AccumarrayLike 1270050836 1270051227
A_Numerical_Agnostic_Pyrex_Class 1143620426 1162632919
ApplyFIRFilter 1307335662 1336252641
ArrayStruct_and_Pyrex 1136516287 1195412846
BrownianMotion 1263769598 1264364601
BuildingArrays 1139337022 1273235140
ButterworthBandpass 1346686589 1346687146
C_Extensions 1146215389 1165615566
C_Extensions_NumPy_arrays 1165610136 1277026979
CommTheory 1244319793 1244323480
CompilingExtensionsOnWindowsWithMinGW 1196098330 1212193254
CorrelatedRandomSamples 1274673641 1313457109
CoupledSpringMassSystem 1232510671 1352300465
Ctypes 1146869119 1321311389
Data_Acquisition_with_NIDAQmx 1182015422 1257426482
Data_Acquisition_with_PyUL 1162836440 1182015526
DataFrame 1158133950 1348862786
dbase 1168156158 1169186114
EmbeddingInTraitsGUI 1231239133 1233218798
EyeDiagram 1328387425 1328395795
F2Py 1140739297 1320919020
f2py_and_NumPy 1140248952 1155559543
FiltFilt 1162339211 1321937693
Finding_Convex_Hull 1187224567 1187224775
Finding_Convex_Hull_Minimum_Point 1259541737 1259728654
FIRFilter 1282871091 1307336232
FittingData 1158802921 1321118212
FortranIO 1207339235 1233529897
FortranIO_FortranFile 1233521760 1257786619
FrequencySweptDemo 1276985350 1305768883
GameOfLifeStrides 1287423409 1287423952
hdf5_in_Matlab 1184923310 1240920561
Histograms 1364291593 136560379
Histograms 1364291593 1365603797
Indexing 1212289325 1212724768
InputOutput 1148150817 1321562944
Interpolation 1138520665 1178226727
Intersection 1249066092 1249066388
KalmanFiltering 1153702161 1153702376
KDTree_example 1222208882 1300954367
KdV 1283809834 1298395943
LASReader 1303441238 1303480214
Least_Squares_Circle 1300572242 1300824517
LinearClassification 1306632239 1306641946
LinearRegression 1139159780 1156206775
LineIntegralConvolution 1227018426 1227019747
LoktaVolterraTutorial 1194799996 1303675500
Matplotlib_AdjustingImageSize 1137963333 1316810855
Matplotlib_Animations 1137958878 1336916269
Matplotlib_Arrows 1196972807 1196972822
Matplotlib_BarCharts 1155134417 1199372577
Matplotlib_ColormapTransformations 1159391838 1351000722
Matplotlib_CompilingMatPlotLibOnSolaris10 1137963532 1231625249
Matplotlib_converting_a_matrix_to_a_raster_image 1152489987 1235647824
Matplotlib_CustomLogLabels 1221615498 1221615517
Matplotlib_DeletingAnExistingDataSeries 1163106346 1163106346
Matplotlib_Django 1167765530 1310514509
Matplotlib_Drag_n_Drop_Text_Example 1202062808 1202067463
Matplotlib_EmbeddingInWx 1137960889 1145507936
Matplotlib_Gridding_irregularly_spaced_data 1137963607 1315401790
Matplotlib_HintonDiagrams 1242338418 1269975519
Matplotlib_Interactive_Plotting 1137961690 1263714652
Matplotlib_LaTeX_Examples 1147341647 1313230898
Matplotlib_Legend 1176303943 1320860300
Matplotlib_LoadImage 1160497971 1228731148
Matplotlib_Loading_a_colormap_dynamically 1137961467 1137961467
Matplotlib_Maps 1137960341 1293521348
Matplotlib_Matplotlib_and_Zope 1137961817 1165253482
Matplotlib_mplot3D 1140184229 1269978619
Matplotlib_MulticoloredLine 1137959990 1269199599
Matplotlib_MultilinePlots 1137959546 1143987197
Matplotlib_Multiple_Subplots_with_One_Axis_Label 1206043275 1340224415
Matplotlib_Plotting_Images_with_Special_Values 1137963933 1137963969
Matplotlib_Plotting_values_with_masked_arrays 1137962925 1296531834
Matplotlib_PySide 1309989072 1339334707
Matplotlib_Qt_with_IPython_and_Designer 1137962518 1321067775
Matplotlib_ScrollingPlot 1262531491 1262531566
Matplotlib_ShadedRegions 1196972673 1196972706
Matplotlib_Show_colormaps 1137963050 1338984581
Matplotlib_SigmoidalFunctions 1137957344 1139447913
Matplotlib_ThickAxes 1228249817 1228249859
Matplotlib_Transformations 1137961982 1276706894
Matplotlib_TreeMap 1154198496 1198183983
